what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1540418022301
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1540418022301
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1540418022303
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1540418022303
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1540418022305
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1540418022305
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1540418022306
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1540418022307
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1540418022308
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1540418022309
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1540418022310
os,sysinfo,,,"win32",1540418022314
arch,sysinfo,,,"x86_64",1540418022314
ws,sysinfo,,,"win32",1540418022314
locale,sysinfo,,,"en_CA",1540418022314
processors,sysinfo,,,"4",1540418022314
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1540418022314
java.runtime.version,sysinfo,,,"1.8.0_181-b13",1540418022314
java.specification.name,sysinfo,,,"Java Platform API Specification",1540418022314
java.specification.vendor,sysinfo,,,"Oracle Corporation",1540418022314
java.specification.version,sysinfo,,,"1.8",1540418022314
java.vendor,sysinfo,,,"Oracle Corporation",1540418022314
java.version,sysinfo,,,"1.8.0_181",1540418022314
java.vm.info,sysinfo,,,"mixed mode",1540418022314
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1540418022314
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1540418022314
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1540418022314
java.vm.specification.version,sysinfo,,,"1.8",1540418022314
java.vm.vendor,sysinfo,,,"Oracle Corporation",1540418022314
java.vm.version,sysinfo,,,"25.181-b13",1540418022314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540418033847
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540419895600
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1540419920612
started,bundle,org.eclipse.wst.common.project.facet.ui,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.ui",1540419946149
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1540419946205
